,error,altitude,pressure,year,flight,dpressure,mach,CPI
0,3.6362571310184535,7189.47998046875,428.4252624511719,2015,b924,74.42179870605469,0.48387035727500916,0.04886010811671797
1,3.9436152940345437,6860.4287109375,446.9795227050781,2015,b924,73.1653823852539,0.470448762178421,0.05390001617526376
2,3.629482652469335,6852.1025390625,447.13055419921875,2015,b924,74.99710845947266,0.4759163558483124,0.04839496784640243
0,3.4946206288965413,7526.79638671875,409.09222412109375,2015,b926,75.96326446533203,0.49933522939682007,0.04600408702144982
0,3.0561931010951753,8486.5634765625,359.0653991699219,2015,b927,78.386474609375,0.5387004017829895,0.038988781117216556
0,3.5179044684816176,6542.68115234375,464.8528137207031,2015,b928,72.73303985595703,0.4604792296886444,0.04836735100648336
0,3.0922770600668628,7654.85986328125,401.0753479003906,2015,b931,71.00688171386719,0.48823174834251404,0.04354897702067321
2,3.8078556585059005,6217.19091796875,484.8305358886719,2015,b932,73.59611511230469,0.45389723777770996,0.051739900301738306
3,4.325550067124141,6213.00341796875,484.8305358886719,2015,b932,72.99235534667969,0.4521210789680481,0.05926031632463143
0,3.831208379089503,6551.15966796875,465.24261474609375,2015,b934,75.87498474121094,0.46962839365005493,0.05049369554612392
1,4.313591622240892,6544.34375,465.3985900878906,2015,b934,71.39086151123047,0.4561660885810852,0.0604221819281775
0,2.4658612800709534,9437.669921875,273.6249694824219,2016,b940,76.5363540649414,0.6041913032531738,0.03221817017803932
1,2.762361395362177,9411.5859375,274.1835632324219,2016,b940,80.29083251953125,0.6170166730880737,0.03440444330540744
2,2.556904143458553,9406.1123046875,274.0819396972656,2016,b940,77.68431854248047,0.6078660488128662,0.032914031962066444
0,3.05683327220288,6040.58642578125,465.16461181640625,2016,b942,70.66069030761719,0.45404964685440063,0.04326073321524507
2,3.3271263335877848,6039.2744140625,465.0866394042969,2016,b942,70.2059555053711,0.45269280672073364,0.047390941546735926
1,3.055695940709711,6021.03173828125,465.24261474609375,2016,b943,73.10137939453125,0.46140170097351074,0.0418007972765875
2,2.6811570004909413,6017.70361328125,465.0866394042969,2016,b943,71.02677154541016,0.4552033245563507,0.03774854103817424
0,2.152857279518969,8866.974609375,300.51251220703125,2016,b949,79.23011016845703,0.5879794955253601,0.02717221110688372
5,2.0384892338047393,9507.5654296875,273.7772216796875,2016,b949,74.64009857177734,0.5971160531044006,0.027310912938364285
6,2.2101423520713865,9496.3115234375,274.13275146484375,2016,b949,79.77641296386719,0.6152572631835938,0.027704208173315807
0,2.9674447638806782,9525.4609375,286.760986328125,2016,b952,87.39684295654297,0.6283762454986572,0.0339536837200882
1,2.9892915356088565,9508.7265625,286.91912841796875,2016,b952,91.23607635498047,0.6406325101852417,0.03276435873873126
2,3.396422103827888,9492.1396484375,287.1300964355469,2016,b952,91.11809539794922,0.6400416493415833,0.037274946200250916
